Estimate; Total: 0.0
Estimate; Total: 0.0
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 2.7841632277e-05
Males; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 2.76285230204e-05
Total; Estimate; Population 65 years and over - High school graduate or higher: 2.75904209931e-05
Males; Estimate; Population 18 to 24 years - Some college or associate's degree: 2.69021646377e-05
Females; Estimate; Population 18 to 24 years - Less than high school graduate: 2.68479358607e-05
Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 2.65424813716e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American: 2.57843001689e-05
Total; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 2.57639094857e-05
Males; Estimate; Population 25 years and over - High school graduate (includes equivalency): 2.57297200775e-05
Females; Estimate; Population 35 to 44 years - High school graduate or higher: 2.50685411005e-05
Females; Estimate; Hispanic or Latino Origin: 2.46364610854e-05
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native: 2.45527345431e-05
Females; Estimate; Population 18 to 24 years - Some college or associate's degree: 2.45337815203e-05
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 2.44430101528e-05
Females; Estimate; Population 35 to 44 years: 2.43833288709e-05
Females; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 2.41841682551e-05
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian: 2.41824044771e-05
Total; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 2.40289988549e-05
Females; Estimate; Asian alone - High school graduate or higher: 2.33965157533e-05
Estimate; Total: - Two or more races: - Two races including Some other race: 2.32889343056e-05
Females; Estimate; Population 25 years and over - High school graduate (includes equivalency): 2.31593437113e-05
Percent Males; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 2.29915335883e-05
Total; Estimate; Population 18 to 24 years - Some college or associate's degree: 2.29497268595e-05
Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 2.2686568072e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian: 2.21659266771e-05
Females; Estimate; White alone, not Hispanic or Latino: 2.20525341701e-05
Total; Estimate; Population 25 to 34 years: 2.18256129825e-05
Females; Estimate; Population 25 years and over - Associate's degree: 2.14346137341e-05
Females; Estimate; Hispanic or Latino Origin - High school graduate or higher: 2.14071221636e-05
Mean income (dollars); Estimate; All households - With earnings: 2.12815352237e-05
Males; Estimate; Population 18 to 24 years: 2.10685255896e-05
Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 2.09310942174e-05
Estimate; Total: - American Indian and Alaska Native alone: 2.07086580909e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native: 2.06533672998e-05
Total; Estimate; Black alone: 2.05818524142e-05
Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 2.02927063854e-05
Total; Estimate; Population 25 years and over - Less than 9th grade: 1.95249173688e-05
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker: 1.95199645566e-05
Females; Estimate; Black alone - Bachelor's degree or higher: 1.88686206451e-05
Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 1.87000997767e-05
Total; Estimate; Population 25 years and over - Associate's degree: 1.8698042005e-05
Total; Estimate; Asian alone - Bachelor's degree or higher: 1.86357798859e-05
Total; Estimate; Population 65 years and over: 1.83911646858e-05
Total; Estimate; Some other race alone: 1.81011091793e-05
Total; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 1.79732636826e-05
Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race): 1.78736653515e-05
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 1.75904520273e-05
Males; Estimate; Population 25 to 34 years - High school graduate or higher: 1.69649517536e-05
Males; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 1.6915889646e-05
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 1.6668137233e-05
Males; Estimate; Black alone - Bachelor's degree or higher: 1.64967174975e-05
Total; Estimate; Population 35 to 44 years: 1.5366702175e-05
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 1.53404962538e-05
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker: 1.53266553981e-05
Males; Estimate; Population 45 to 64 years - High school graduate or higher: 1.52486050219e-05
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 1.50143407164e-05
Males; Estimate; Hispanic or Latino Origin: 1.4956999952e-05
Males; Estimate; Population 35 to 44 years - High school graduate or higher: 1.48628926804e-05
Males; Estimate; White alone, not Hispanic or Latino: 1.47733957221e-05
Males; Estimate; Hispanic or Latino Origin - High school graduate or higher: 1.47382814252e-05
Total; Estimate; Asian alone - High school graduate or higher: 1.45677450273e-05
Females; Estimate; Population 45 to 64 years - High school graduate or higher: 1.4558401704e-05
Total; Estimate; Population 45 to 64 years - High school graduate or higher: 1.44223227505e-05
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families: 1.42407027861e-05
Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 1.4162264301e-05
Total; Estimate; Population 25 years and over - Graduate or professional degree: 1.41527446226e-05
Total; Estimate; Black alone - High school graduate or higher: 1.39989916619e-05
Total; Estimate; Native Hawaiian and Other Pacific Islander alone: 1.39021608038e-05
Total; Estimate; Population 45 to 64 years: 1.38967832812e-05
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 1.35350583935e-05
Total; Estimate; Black alone - Bachelor's degree or higher: 1.33723762465e-05
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 1.308977925e-05
Total; Estimate; Population 25 years and over - High school graduate (includes equivalency): 1.30709794922e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 1.26427416215e-05
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 1.2285612585e-05
Total; Estimate; Asian alone: 1.22326139133e-05
Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 1.17140502548e-05
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 1.1666755117e-05
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other: 1.15417061035e-05
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 1.11665375266e-05
Estimate; Total: - Native Hawaiian and Other Pacific Islander alone: 1.11170677874e-05
Mean income (dollars); Estimate; Hispanic or Latino origin (of any race): 1.02525301579e-05
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander: 1.02296776307e-05
Males; Estimate; Population 25 years and over - Some college, no degree: 1.01545719458e-05
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers: 9.9246296442e-06
Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 9.88878390325e-06
Total; Estimate; White alone, not Hispanic or Latino_data_./data/education.csv: 9.2847890117e-06
Total; Estimate; Hispanic or Latino Origin - High school graduate or higher: 8.9423206514e-06
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other: 8.87287171645e-06
Total; Estimate; Population 25 years and over - Some college, no degree: 8.62963014843e-06
Females; Estimate; Population 25 years and over: 8.59564478667e-06
Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 8.51565738853e-06
Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 7.78949528341e-06
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers: 7.65068468404e-06
Total; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 7.47052573753e-06
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race: 7.2512337391e-06
Estimate; Total: - Two or more races:: 7.11210623179e-06
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 7.01402284027e-06
Total; Margin of Error; Native Hawaiian and Other Pacific Islander alone: 6.96267818876e-06
Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 6.82418810246e-06
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race: 6.32410167909e-06
Males; Estimate; Population 25 years and over: 6.16454965463e-06
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander: 6.09536051516e-06
Females; Estimate; Population 25 years and over - Some college, no degree: 5.53977251614e-06
Total; Estimate; Hispanic or Latino Origin: 5.53752600895e-06
Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 5.52653546564e-06
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 5.47272328315e-06
Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 5.43180681234e-06
Males; Estimate; Asian alone - High school graduate or higher: 5.19096429805e-06
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 4.46558702868e-06
